Def,State,Word
ability,n,အစြမ္း၊ စြမ္းရည္။ စြမ္းပကား။ တတ္ႏိုင္စြမ္း။ တတ္ကၽြမ္းမႈ။ အရည္အခ်င္း။
abject,adj,ဆိုးရြားေသာ။ ကမ္းကုန္ေသာ။ တြင္းဆံုးက်ေသာ။ ခၽြတ္ျခံဳက်ေသာ။ သိကၡာမဲ့ေသာ။ အဖတ္ဆယ္မရေအာင္ (ျဖစ္ေသာ)။
abjectly,adv,လက္မႈိင္ခ်လ်က္။
abjure,v,(ပိုင္ခြင့္၊ ခံယူခ်က္ စသည္) စြန္႔ပယ္သည္။ စြန္႔သည္။ ျငင္းပယ္သည္။
ablaze,adj,ေတာက္ေလာင္(ေသာ)။ ဟုန္းဟုန္း ေတာက္(ေသာ)။ ထိန္လင္း (ေသာ)။ ေတာက္ပ(ေသာ)။ လွ်မ္း(ေသာ)။
able,adj,နိုင္ (ေသာ)။ ပိုင္ႏိုင္ေသာ။ ကၽြမ္းက်င္ေသာ။ ေတာ္ေသာ။
able-bodied,adj,က်န္းမာသန္စြမ္းေသာ။
able man,n,ကၽြမ္းက်င္ပညာရွင္။ လိုအပ္ေသာအရည္အေသြး ျပည့္ဝသူ။
able seaman,n,(ေရတပ္) တပ္သားေက်ာ္။
ably,adv,ပိုင္ႏိုင္စြာ။
ablution,n,ကိုယ္လက္ေဆးေၾကာျခင္း။ ေရကိုင္ျခင္း။ ကိုယ္လက္သန္႔စင္ခန္း (ျဗိတိသွ်အသံုး)။
abnegate,vt,ပစ္ပယ္သည္။စြန္႔လႊတ္သည္။
abnegation,n,ဖယ္ၾကဥ္ျခင္း။ စြန္႔ပယ္ ျခင္း။
abnomal,adj,ပံုမွန္မဟုတ္ေသာ။ မူမမွန္ေသာ။ ေဖာက္ျပန္ေသာ။
abnormality,n,ပံုမွန္မဟုတ္ျခင္း၊ မူမမွန္ျခင္း။
abnormally,adv,ထူးထူး ကဲကဲ။ အဆမတန္။
aboard,adv,(ယဥ္) ေပၚသို႔။ ေပၚတြင္။ ေပၚ၌။
abode,n,ေနအိမ္။ အိမ္။ ဘံုဗိမာန္။
abolish,v,ဖ်က္သိမ္းသည္။ ရုပ္သိမ္းသည္။
abolition,n,ဖ်က္သိမ္းျခင္း။
abolitionist,n,ဖ်က္သိမ္းေရးဝါဒီ။
A-bomb,n,အဏုျမဴဗံုး။
abominable,adj,စက္ဆုပ္ဖြယ္ (ေကာင္းေသာ)။ မသတီစရာ။ ဆိုးရြားေသာ။ ခ်ာေသာ။ ညံ့ေသာ။ စုတ္ပဲ့ေသာ။
abominably,adv,မေကာင္း တေရာင္း။ ျဖစ္ကတတ္ဆန္း။ ဆိုးဆိုးရြားရြား။
abominate,v,စက္ဆုပ္ရြံရွာသည္။
abomination,n,မ်က္စီေနာက္စရာ။ (စိတ္)မေကာင္စရာ။ ေအာ့ႏွလံုး နာစရာ။
aborigine,n,(အထူသျဖင့္ ၾသစေၾတးလ်တြင္) ကနဦးေနထိုင္ခဲ့ေသာ လူမ်ိဳး။ ေရွးတီမဆြ တိုင္းရင္းသား။ ေရွးလူမ်ိဳး။
aboriginal,n,ေရွးတိုင္းရင္း။ ေရွးတိုင္ရင္းသားတို႔၏။ (ၾသစေၾတးလ်) ေရွးလူမ်ိဳး။
abort,v,ကိုဝန္ဖ်က္သည္။ သားေလွ်ာသည္။ ကိုဝန္ပ်က္သည္။ ဖ်က္သိမ္းသည္။
abortion,n,ကိုဝန္ဖ်က္မႈလုပ္ရပ္။ ကိုဝန္ဖ်က္မႈ။ ကိုဝန္ဖ်က္ခ် (ျခင္း)။
abortionist,n,(တရားမဝင္) ကိုဝန္ ဖ်က္ခ်ေပးသူ။
abortive,adj,မေအာင္ျမင္ေသာ။
abound,v,ေပါသည္။ လႈိင္သည္။ ျပည့္လွ်ံသည္။ ဆူေဝသည္။ ျပည့္ႏွက္သည္။
about,adv,ခန္႔။ ေလာက္။ သေလာက္။ (သည္းခံ ဆို) ႏိုင္ရံုတစ္မည္။ ထိုထိုဤဤ။ ဟိုဟိုသည္သည္။ ဟိုမွာသည္မွာ။ မေရမရာ။ ဟိုလိုလိုသည္လိုလို။ လတ္လ်ား လတ္လ်ား။ ဝန္းက်င္တြင္။ အနီးအနားတြင္။ ေနရာအႏွံ႔အျပားတြင္ (ျဖစ္ေပါသည္၊ ေပၚေပါက္သည္)။ ေနာက္ျပန္။ ေနာက္။ မူမွန္မွ ဆန္႔က်င္လ်က္။
above,adv,အထက္တြင္။ အေပၚတြင္။ အေပၚမွာ။ အေပၚက။ အထက္။ ေရွ႕တြင္။ မိုးေပၚ(က)။ (ေကာင္းလြန္းေတာ္လြန္း၍) ေအာက္တန္းမက်။ မတူမတန္။ မာနမထားတတ္။ ကင္းရွင္း လ်က္။ လက္လွမ္း မမီ။ (ဆူညံသံမ်ားကို) ေက်ာ္၍။ (ျမစ္)အထက္ဘက္တြင္။
aboveboard,adv,ရိုးသားစြာ။
the above,n,အထက္ေဖာ္ျပပါအခ်က္။
above all,idm,အျဖစ္ခ်င္ဆံုး။ အလိုခ်င္ဆံုး။ အေတာင့္တ ဆံုး(စသည္)။
above oneself,idm,ဘဝင္ျမင့္သည္။ ေသြး နားထင္ ေရာက္သည္။ ေအာက္ေျခလြတ္သည္။
above mentioned,adv,အထက္တြင္ေဖာ္ျပပါ။
abracadabra,n,မ်က္လွည့္ ျပကြက္ တစ္ခုေအာင္ျမင္ေစရန္ဟူ၍ မ်က္လွည့္ဆရာက ေရရြတ္ေသာ စကား။ ဥံဳဖြ။
abrade,v,ပြတ္၍၊ ျခစ္၍ မ်က္ႏွာျပင္ကို ပြန္းပဲ့ ၾကမ္းေထာ္ေစသည္။
abrasion,n,ပြန္းပဲ့ဒဏ္။ ပြန္းပဲ့ဒဏ္ရာ။
abrasive,adj,ေကာ္ဖတ္ စသည္ကဲ့သို႔ ပြတ္တိုက္ ရေသာ၊ ပြန္းရွတတ္ေသာ။ ခက္ထန္ၾကမ္းတမ္းေသာ။
abrasiveness,n,ပြတ္တိုက္ရန္ပစၥည္း။
abreast,adv,ရင္ေပါင္တန္း။
keep abreast of,idm,ရင္ေပါင္တန္းလိုက္သည္။
abridge,v,အက်ဥ္းခ်ံဳးသည္။ အက်ဥ္းခ်ဳပ္သည္။
abridgement,n,က်မ္းအက်ဥ္း။ သံခိပ္က်မ္း။ အက်ဥ္းခ်ဳပ္။
abroad,adv,ႏိုင္ငံရပ္ျခား။ ျပည္ပ (သို႔၊ တြင္၊ မွ)။ (သတင္း) ျဖစ္လ်က္၊ ျပန္႔လ်က္၊ ေျပးလ်က္။ အိမ္ျပင္။
abrogate,v,ပယ္ဖ်က္သည္။
abrogation,n,ပယ္ဖ်က္ျခင္း။
abrupt,adj,ရုတ္ခနဲ၊ ရုတ္ျခည္း၊ ရုတ္တရက္ (ျဖစ္ေသာ)။ (အေျပာအဆို) ၾကြပ္ဆတ္ေသာ၊ ျပတ္ေတာင္းေသာ။ မေျပျပစ္ေသာ။
abscess,n,ျပည္တည္နာ။
abscond,v,ထြက္ေျပးတိမ္းေရွာင္သည္။
abseil,v,ကမ္းပါးထိပ္တြင္ ဆိုင္းထားေသာ ၾကိဳးႏွစ္ေခ်ာင္း ျဖင့္ ကမ္းပါးယံကို ေျခစံုကန္၍ ေလွ်ာဆင္းသည္။  ေျခစံုကန္ ေလွ်ာဆင္းသည္။
abseil,n,ကမ္းပါးထိပ္တြင္ ဆိုင္းထားေသာ ၾကိဳးႏွစ္ေခ်ာင္း ျဖင့္ ကမ္းပါးယံကို ေျခစံုကန္၍ ေလွ်ာဆင္းျခင္း။  (ေတာင္တက္ျခင္း)
absence,n,ပ်က္ကြက္ျခင္း။ မရွိခိုက္။ မရွိတံုး။ ကင္းမဲ့ျခင္း။ မရွိျခင္း။
absent,adj,မရွိေသာ။ အေဝး ေရာက္။ ပ်က္ကြက္ေသာ။ ကင္းမဲ့ေသာ။ ပတ္ဝန္းက်င္ကို သတိမမူေသာ။ အျခားတစ္ပါးသို႔စိတ္ေရာက္ေနေသာ။ စိတ္မပါေသာ။
absently,adv,ေငးတိေငးေမာ။
absent minded,adj,ေမ့တတ္(ေသာ)။
absent mindedly,adv,အမွတ္တမဲ့။ အမွတ္မထင္။
absent mindedness,n,ေမ့ေလ်ာ့တတ္ျခင္း။
absentee,n,ပ်က္ကြက္သူ။
absenteeism,n,ပ်က္ကြက္က်င့္။
absentee landlord,n,အေဝးေရာက္ ေျမရွင္။
absolute,adj,အျပည့္အဝ၊ အၾကြင္းမဲ့၊ ပကတိ (ျဖစ္ေသာ)။ မလြဲ၊ မုခ် ဧကန္ (ျဖစ္ေသာ)။ သီးျခား။ သီးသန္႔။
absolute,n,ပရမတ္။
absolute majority,n,မဲ ထက္ဝက္ေက်ာ္ (ျဖစ္ျခင္း)။
absolute zero,n,ပကတိသုည (အပူခ်ိန္)။
absolutely,adv,အျပည့္အဝ၊ အေသအခ်ာ။ တကယ္။ အျပတ္။ အထူး။ အလြန္။ လံုးဝ။ ဟုတ္တာေပါ့။ မွန္သေပါ့။
absolution,n,(ခရစ္ယာန္) အျပစ္ ေျဖေပးျခင္း။
absolutism,n,အၾကြင္းမဲ့ အာဏာပိုင္စိုးေရး။
absolutist,n,အၾကြင္းမဲ့ အာဏာပိုင္စိုးေရး ဥပေဒ။ အၾကြင္းမဲ့ အာဏာရွင္။ အာဏာရွင္အား ေထာက္ခံသူ၊ ေျမွာက္ပင့္သူ။
absolve,v,လြတ္ျငိမ္းခြင့္ ျပဳသည္။ (အျပစ္) ေျဖေပးသည္။
absorb,v,စုပ္ယူသည္။ ခံစားသည္။ (ဥ) ေမြးစားသည္။ သိမ္းသြင္းသည္။ မွတ္သားသည္။ ေလ့က်က္သည္။ ဒဏ္ခံကာကြယ္ေပးသည္။ (စိတ၊္ အာရံုကို ) ဆြဲေဆာင္ထားသည္။ ရန္ပံုေငြ သံုးစြဲကုန္က်မႈရွိသည္။
absorbed,adj,(အာရံု) စြဲျငိလ်က္ရွိ(ေသာ)။
absorbent,adj,ေရ၊ အရည္ စုပ္ယူေသာ။
absorbency,n,ေရ၊ အရည္ စုပ္ယူျခင္း။
absorbing,adj,စိတ္ဝင္စားဖြယ္ေကာင္းေသာ။
absorption,n,စုပ္ယူျခင္း (သို႔) ဆီးတားဒဏ္ခံေပးျခင္း (သို႔) နစ္မြန္းေနျခင္း။
abstain,v,(မဲေပးျခင္း) မျပဳဘဲေနသည္။ (မဲ) မေပးပဘဲေနသည္။ (မဲခြဲရာ၌) ၾကားေနသည္။
abstainer,n,(အရက္) ေရွာင္သူ။
abstemious,adj,(အေသာက္အစား) ျခိဳးျခံေသာ၊ ေရွာင္ေသာ။
abstention,n,မဲမေပးဘဲေနျခင္း။ ၾကားေနမဲ။
abstinence,n,(အေသာက္အစား အေပ်ာ္အပါးလိုက္စားမႈ) ေရွာင္ျခင္း။
abstract,adj,စိတ္ကူးသက္သက္။ ေယဘုယ် (သေဘာ)။ စိတၱဇ (ပန္းခ်ီ၊ ပန္းပု၊ အက စသည္)။
abstract,n,စိတၱဇ ပန္းခ်ီ။ ေကာက္ႏွတ္ခ်က္။ အက်ဥ္းခ်ဳပ္။ သံခိပ္။
abstract,v,ေကာက္ႏုတ္သည္။
abstract noun,n,စိတၱဇနာမ္။
in the abstract,idm,ေယဘုယ်အားျဖင့္။
abstracted,adj,(အာရံု) ပ်ံ့လြင့္လ်က္ရွိေသာ။
abstractedly,adv,အျခားတစ္ပါးသို႔ အာရံုပ်ံ့လြင့္လ်က္။ ေငးေငး ေမာေမာ။ စိတ္မေပါ့တပါ။
abstraction,n,စိတ္ကူးစိတ္သန္း။ စိတ္ဝင္စားမႈ မရွိျခင္း။ ကင္းလြတ္ျခင္း။
abstruse,adj,နက္နဲေသာ။ ခဲကတ္ေသာ။
absurd,adj,ျဖစ္ႏိုင္ေျခမရွိေသာ။ အဓိပၸါယ္ မရွိ ေသာ။ ကိုးရိုးကားရားႏိုင္ေသာ။ ရယ္ဖြယ္ ျဖစ္ေသာ။
the absurd,n,ကတ္သီးကတ္သတ္ႏိုင္ေသာအရာ။
absurdity,n,ရယ္ဖြယ္ေကာင္းမႈ။
absurdly,adv,မေတာ္မတရား။
abundance,n,အလွ်ံပယ္ရွိျခင္း။
abundant,adj,အလွ်ံပယ္ျဖစ္ေသာ။ အလြန္ ေပါမ်ားေသာ။ ေဖြးေဖြးလႈပ္ (မ်ားျပားေသာ)။ ၾကြယ္ဝေသာ။ ခ်မ္းသာေသာ။
abundantly,adv,အလွ်ံပယ္။ အလြန္။
abuse,v,အလြဲသံုးစားျပဳသည္။ ေစာ္ကားသည္။ ႏွိပ္စက္ညွဥ္းပန္းသည္။ မတရား က်င့္သည္။ မဟားတရားျပဳသည္။ ဆဲေရးတိုင္းထြာသည္။
abuse,n,တလြဲသံုးျခင္း။ မတရားသံုးျခင္း။ (အာဏာ၊ အခြင့္အေရး) အလြဲသံုးစား ျပဳျခင္း။ မေတာ္မတရားျပဳ ျခင္း။ ဆဲေရးျခင္း။ မေတာ္အေရာ္ အၾကမ္းပတမ္း ကိုင္တြယ္အသံုးျပဳျခင္း။
abusive,adj,ရင့္သီးေသာ။ ရိုင္စိုင္းေသာ။ ရုန္႔ရင္း ၾကမ္းတမ္းေသာ(စကား)။
abusively,adv,ရိုင္းစိုင္းစြာ။
abut,v,ထိစပ္သည္။ ေက်ာခိုင္းနံစပ္ျဖစ္သည္။
abysmal,adj,ကမ္းကုန္ေသာ။ အလြန္ဆိုးရြားေသာ။ တြင္းဆံုး က်ေသာ။
abysmally,adv,ကမ္းကုန္စြာ။ အလြန္ဆိုးရြားစြာ။
abyss,n,အသူတစ္ရာနက္ေသာေခ်ာက္။
AC,n,(Alternating Current) ျပန္လွန္လွ်ပ္စီး။ ေအစီ။
acacia,n,(ထေနာင္းမ်ိဳး) အေကရွားပင္။
academe,n,ပညာရပ္သင္ၾကားမႈ အဝန္းဝိုင္း။ ေက်ာင္း။
academia,n,ပညာရပ္သင္ၾကားမႈ အဝန္းဝိုင္း။ ေက်ာင္း။
academic,adj,ပညာသင္(ႏွစ္)။ ဘြဲ႔(ဝတ္စံု)။ တကၠသိုလ္ေက်ာင္းသား(ဘဝ)။ ပညာပါရမီ ရွိေသာ။
academic,n,တကၠသိုလ္ဆရာ။
academically,adv,ပညာပါရမီရွိစြာ။
academician,n,ေတာ္ဝင္ ပညာရွင္။
academy,n,အထူးပညာရပ္သင္ေက်ာင္း၊ တကၠသိုလ္။ အႏုပညာ၊ သိပၸံ စသည္ (ေတာ္ဝင္) အသင္းအဖြဲ႔။
Academy Award,n,(ရုပ္ရွင္) အကယ္ဒမီဆု။
ACAS,n,Advisory, Conciliation and Arbitration Service. ျဗိတိသွ် ဝါဏိဇၹပဋိပကၡ ေစ့စပ္ေရး အဖြဲ႔အစည္။
acanthus,n,ဥေရာပေတာင္ပိုင္းႏွင့္ အာရွတိုက္တြင္ေပါက္သည့္ခရာပင္စသည့္ဆူးပင္မ်ိဳး။
accede,v,(နန္း)တက္သည္။ ရာထူရာခံ တစ္ခုခုသို႔ တက္လွမ္းသည္။ လိုက္ေလ်ာသည္။ လက္ခံသည္။
accelerate,v,အရွိန္ျမွင့္သည္။ ေစာေစသည္။ အရွိန္ျမင့္လာသည္။
acceleration,n,အရွိန္၊ ဆြဲအား။ အရွိန္အဟုန္ တိုးတက္မႈ။
accelerator,n,(ေမာ္ေတာ္ကား) လီဗာ။ အရွိန္ေပးစက္။
accent,n,ဖိရြတ္သံ။ ဖိသံ။ သံေျပာင္းျပ သေကၤတ။ ဝဲသံ။ အေလးေပးမႈ။
accent,v,ဝဲသံပါသည္။ သံေျပာင္းျပ သေကၤတျပသည္။ ထင္းေစသည္။ ထင္ရွား ေပၚလြင္ေစသည္။
accentuate,v,ထင္းေနေစသည္။ ေပၚလြင္ေစသည္။
accentuation,n,ထင္းေနေစျခင္း။ ေပၚလြင္ေစျခင္း။
accept,v,လက္ခံသည္။ ယူသည္။ အသိအမွတ္ ျပဳသည္။ (ဒုကၡ သုကၡ၊ သည္းညည္း) ခံသည္။ ယူသည္။ ၾကည္ျဖဴစြာလက္ခံသည္။ လက္သင့္ခံသည္။
acceptable,adj,လက္ခံနိုင္ေသာ။ ယူႏိုင္ေသာ။ လက္သင့္ခံႏိုင္ေသာ။ (ႏွစ္လိုဖြယ္)ေကာင္းေသာ။
acceptablity,n,လက္ခံနိုင္ျခင္း။ ယူႏိုင္္ျခင္း။ လက္သင့္ခံႏိုင္္ျခင္း။ (ႏွစ္လိုဖြယ္)ေကာင္း္ျခင္း။
acceptably,adv,လက္ခံနိုငစြာ။ ယူႏိုင္စြာ။ လက္သင့္ခံႏိုင္စြာ။ (ႏွစ္လိုဖြယ္)ေကာင္းစြာ။
acceptance,n,(ဖိတ္ၾကားခ်က္၊ အဆို ျပဳခ်က္ စသည္) လက္ခံျခင္း။ လက္သင့္ခံျခင္း။ ဝင္ခြင့္ျပဳျခင္း။ လက္ခံျခင္း။ ၾကိဳဆိုလက္ခံျခင္း။ သည္းခံျခင္း။
access,n,ဝင္လမ္း။ လမ္း။ (ၾကည့္ရန္၊ သံုးရန္၊ ေတြ႔ရန္) အခြင့္အလမ္း၊ အခြင့္။ (computer) ဝင္ရွာ၊ ဝင္ၾကည့္သည္။ ေရာက္သည္။
access road,n,လမ္းမၾကီးမွ ဝင္ရန္ ထြက္ရန္ လမ္းခြဲ။
access time,n,ကြန္ပ်ဴတာရွိ အခ်က္ အလက္ ရယူႏိုင္ရန္ လိုအပ္ခ်ိန္။
access denied,n,အခ်က္ အလက္ ရယူႏိုင္မႈ ပိတ္ပင္သည္။ (ဒီသတိေပးခ်က္ကို အသံုးျပဳသူ သည္ ခြင့္ျပဳခ်က္မရရွိျခင္း သို႔မဟုတ္ ျငင္းပယ္ခံရ ပါကေဖာ္ျပတတ္သည္။)
accessible,adj,သံုးခြင့္ရေသာ။ ဝင္ခြင့္ရေသာ။ နာလည္ရန္လြယ္ေသာ။
accessibility,n,သံုးခြင့္ရျခင္း။ ဝင္ခြင့္ရျခင္း။ နာလည္ရန္လြယ္ျခင္း။
accession,n,(ထီးနန္း၊ ရာၾကီး ထူၾကီး) တက္။ (စာၾကည့္တိုက္၊ ျပတိုက္ စသည္တို႔တြင္) ထပ္တိုးသည့္အရာ။
accessary,n,တစ္စံုတစ္ေယာက္အား အကူအညီေပးသူ(အထူးသျဖင့္ရာဇ၀တ္မွဳတြင္) ၾကံရာပါ။
accessory,n,အသုံးအေဆာင္။ တြဲဖက္ပစၥည္း။ (ျပစ္မႈက်ဴးလြန္ရာတြင္) အလိုတူအလုိပါ။
accessory after the fact,idm,ျပစ္မႈ က်ဴးလြန္ၿပီးေနာက္ ကူညီ႐ုိင္းပင္းသူ။
accessory before the fact,idm,ျပစ္မႈ မက်ဴးလြန္မီ ကူညီ႐ုိင္းပင္းသူ။
accident,n,မေတာ္တဆ ထိခုိက္ (ဒဏ္ရာရ)မႈ။ တုိက္ဆုိင္မႈ။
accident prone,adj,ထိခုိက္မႈ ျဖစ္တတ္ [ေသာ]။
accidents will happen,idm,မေတာ္တဆ ထိခုိက္မႈဆုိတာ ရိွေနမွာပဲ။ အေပကၡိ တႏ ၱရာယဘူတာ။
by accident,idm,မေတာ္တဆ။
accidental,adj,မေတာ္တဆ [ျဖစ္ေသာ]။ တုိက္တုိက္ဆုိင္ဆုိင္ [ျဖစ္ေသာ]။ အမွတ္မထင္ [ျဖစ္ေသာ]။
accidentally,adv,မေတာ္တဆ။ အမွတ္တမဲ့။
acclaim,v,ေထာမနာျပဳသည္။ ခ်ီးက်ဴးဂုဏ္ျပဳသည္။
acclaim,n,ေထာမနာျပဳျခင္း။ ခ်ီးက်ဴးဂုဏ္ျပဳျခင္း။
acclamation,n,တစ္ခဲနက္ ၾသဘာေပးျခင္း။
acclimatize,v,ေနသားတက် ျဖစ္သည္။ ေနက်င့္ရသည္။
acclimate,v,ေနသားတက် ျဖစ္သည္။ ေနက်င့္ရသည္။
acclimatization,n,ေနသားတက် ျဖစ္ျခင္း။ ေနက်င့္ရျခင္း။
acclimatisation,n,ေနသားတက် ျဖစ္ျခင္း။ ေနက်င့္ရျခင္း။
accolade,n,ေထာမနာျပဳျခင္း။ ခ်ီးက်ဴး ဂုဏ္ျပဳျခင္း။
accommodate,v,ဆံ့သည္။ ဝင္သည္။ ထည့္သြင္းစဥ္းစားသည္။ အလုိက္သင့္ အလ်ားသင့္ေနသည္။ အလိုက္အထိုက္ ေနသည္။ ရပ္သစ္ ရြာသစ္တြင္ ဝင္ဆံ့ႏိုင္ေအာင္ ႀကဳိးပမ္းသည္။ လုိက္ေလ်ာ သည္။ ကူညီေဆာင္ၾကဥ္းသည္။
accommodating,adj,လုိက္ေလ်ာ[ေသာ]။
accommodation,n,ေနရာထုိင္ခင္း။ တည္းခုိရန္ အခန္း။ အိမ္ခန္း။ လုိက္ေလ်ာမႈ။ ညႇိႏႈိင္းေျပလည္မႈ။
accommodations,n,ေနစရာ (ရံဖန္ရံခါ စားေရးေသာက္ေရး အပါအဝင္)။
accompaniment,n,လုိက္ဖက္ေသာအရာ။ ဘက္။ အတြဲအဖက္(music) ။
accompanist,n,အထူးသျဖင့္ စႏၵရားျဖင့္) လုိက္ေပး သူ။
accompany,v,လုိက္ပါသည္။ ႏွင့္အတူပါရိွသည္။ ႏွင့္အတူ ေပၚေပါက္လာသည္။ ) တြဲဖက္ ဆုိေပး၊ တီးေပးသည္။
accomplice,n,ၾကံရာပါ။
accomplish,v,ၿပီးေျမာက္သည္။ ျဖစ္ေျမာက္သည္။
accomplished,adj,ေျပာင္ေျမာက္ေသာ။ လူမႈေရးႏွင့္ သုခုမအတတ္ က်မ္းေက်ေသာ။
accomplishment,n,ၿပီးေျမာက္ျခင္း။ ေအာင္ျမင္ျခင္း။ ေအာင္ျမင္မႈ။ ထူးခြၽန္မႈ။ လူမႈႏွင့္ သုခုမအတတ္။
accord,n,သေဘာတူညီခ်က္။ ညီညြတ္သည္။ ကုိက္သည္။ ေပးအပ္သည္။ ႏွင္းအပ္သည္။ (ခြင့္) ေပးသည္။
in accord,idm,(သေဘာသြား) ကုိက္ညီ လ်က္။ (သေဘာထားခ်င္း) တုိက္ဆုိင္လ်က္။ တစ္ထပ္တည္း က်လ်က္။ ႀကဳိက္ညီလ်က္။
of one's own accord,idm,မိမိဆႏၵအေလ်ာက္။
with one accord,idm,တစ္ၿပဳိင္နက္တည္း တစ္ေယာက္ မက်န္။
accordance,n,သေဘာတူညီျခင္း။ ညီညြတ္ျခင္း။
in accordance with,idm,ႏွင့္အညီ။
according,n,အရ။
according to,prep,အဆိုအရ။ ႏွင့္အညီ။ အတိုင္း။
accordingly,adv,ေလ်ာ္ညီစြာ။ ကိုက္ညီေအာင္။ လိုအပ္သလို။ သင့္ေတာ္သလို။ ထို႔ေၾကာင့္။ သို႔ျဖစ္၍။ သို႔ျဖစ္ေသာ ေၾကာင့္။
accordion,n,အေကာ္ဒီယံ။
accost,v,(မိမိမလိုလားသူက) လာကပ္ ေျပာသည္။ ခ်ဥ္းကပ္ျမႇဴဆြယ္သည္။
account,n,ေငြစာရင္း။ ဘဏ္စာရင္း။ျဖစ္စဥ္။ ျဖစ္ပ်က္ပံု။
account,v,ယူဆသည္။ သေဘာထားသည္။
from all accounts,idm,ၾကားရသေရြ႔ေတာ့။
by one's  own  account,idm,ျပန္လည္ေျပာဆိုခ်က္ အရ။ အေျပာအရ။
give a good, splendid, etc account of oneself,idm,အစြမ္းျပႏိုင္ခဲ့ (သည္၊ ၍)။
